key,sweep,scenario,planet,dry_pressure_pa,co2_ppm,humidity,stratosphere_k,surface_albedo,ts_k,surface_pressure_pa,olr,asr,albedo,net_toa,surface_down_lw,surface_up_lw,surface_sw,atmosphere_sw,sw_longward_of_grid,water_column_kg_m2,air_column_kg_m2,tropopause_pa,tropopause_height_km,stratospheric_h2o,seconds
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=360,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,360.0,163519.65721091203,237.70070503588482,263.5869343776148,0.22532032654680623,25.886229341729972,950.3147878317666,950.3725262191209,45.24976262848661,218.33717174912817,1.8484741163702294,27226.887338104876,109629.51142943656,2.4563254593895514,843.8453063270495,0.06619807516401922,55.7
moon_1.0atm|saturated|co2=400|strat=200|albedo=0.13|ts=370,saturated,moon_1.0atm,moon,101325.0,400.0,saturated,200.0,0.13,370.0,191860.51115456905,235.3110346732383,262.6745692026774,0.2280017597424973,27.36353452943908,1059.7710014975976,1059.8094280106604,35.5864563567751,227.0881128459023,1.8484741163702294,42781.657235450424,129492.24818715002,1.0,1044.2118956687166,0.1670279600464626,55.6
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=250,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,250.0,121666.01266951025,158.44184933290572,236.549955128667,0.30478176990397143,78.10810579576128,155.52547927368246,221.49233757285802,188.23033731762052,48.31961781104647,1.8484741163702294,4.342621761858072,78427.51262148732,54849.84853527384,32.33033062312742,2.9645265971891335e-06,57.4
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=270,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,270.0,122060.0618775738,187.18746825919263,240.19330337670786,0.2940740015628246,53.00583511751523,244.03563568822247,301.32071748151236,167.12154551664386,73.071757860064,1.8484741163702294,34.431333209423535,78907.35459675803,38940.94829573434,49.055289159067044,4.175652599388929e-06,54.4
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=290,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,290.0,123509.87719484796,204.6962673722502,245.04387536733677,0.27981821329837897,40.34760799508658,389.8313921596835,400.9687230215511,139.65929173402986,105.3845836333069,1.8484741163702294,223.81866083381453,80195.33313792574,24132.6025673086,75.08766473701374,6.737931637973017e-06,53.7
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=300,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,300.0,125126.71758650494,209.87180962425734,247.91406107381397,0.2713827628421798,38.04225144955663,456.386707076121,459.1529956907947,123.88388770508561,124.03017336872836,1.8484741163702294,533.9780187094782,81493.97521802635,16880.372421711763,96.10351885663023,9.632715252548507e-06,54.2
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=310,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,310.0,127821.20363976824,215.92972839454026,250.96148966411266,0.2624263971149527,35.0317612695724,522.3210631188733,523.4270438748114,107.89271409208231,143.06877557203035,1.8484741163702294,1214.5741349941059,83555.36039824082,10225.56836292891,127.21599632362235,1.5901700583504938e-05,54.1
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=320,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,320.0,132136.38438688908,223.03331478803617,254.03908545384712,0.25338137025486995,31.005770665810957,593.6719654937945,594.1899045167534,92.72187334395666,161.31721210989048,1.8484741163702294,2587.4127882579887,86732.79748735714,4983.285520084951,174.40216795617,3.2629863907193235e-05,66.1
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=330,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,330.0,138803.9711705308,230.59093619304136,256.7860190760518,0.24530815658640132,26.19508288301043,671.579851521221,671.8488378672923,78.45504047645986,178.33097859959193,1.8484741163702294,5106.700530593601,91507.83719826986,1760.3088911855407,247.07404972186288,9.237235998605419e-05,63.8
moon_1.2atm|saturated|co2=400|strat=200|albedo=0.13|ts=340,saturated,moon_1.2atm,moon,121590.0,400.0,saturated,200.0,0.13,340.0,148779.00308877364,236.51395086264498,258.8267035829354,0.23931060283379818,22.312752720290433,756.6662434530081,756.8181474228612,65.25687091814339,193.56983266479202,1.8484741163702294,9349.466301550048,98535.99074605491,392.9466643547168,359.98571741960694,0.00041380649931432715,55.9
